user_id,transactional_velocity
63264809.7446857295,16
4484520.5210961028,13
12545442.9053678590,11
2095299.8404862362,10
8083450.3844124226,10
42744232.1088543265,9
4116825.4321746815,8
25363504.9539525923,8
86226481.4357835444,8
38579036.9404376300,8
69784832.7107601315,7
81632350.4358345762,7
2049470.1567030647,7
71706603.2631255790,7
86949711.6238778520,7
5898251.1308942779,7
79509844.1081277926,6
50264907.6315911120,6
60536675.2873170774,6
47567788.3779803485,6
1269503.0307049017,6
8635951.7155332526,6
34715004.0442654743,6
1043539.2747159846,6
84534898.7989426950,6
34490273.5966302679,6
39049092.9395215156,6
86253338.5702333040,6
70013731.5220508342,6
60695124.4742262801,5
97950097.5837353470,5
5645225.6917653454,5
58104072.2659495100,5
80208775.3915875119,5
4983865.9578536501,5
2808102.2330574481,5
5312155.7410092259,5
53675399.0091092182,5
57966618.4492876538,5
16851116.6419517132,5
7474537327.4725745851,5
3046093.2167709173,5
3392018.9796964611,4
7750159.6505312378,4
11323811.0415184273,4
7688722.6706829800,4
91266894.2688451102,4
8822878673.4974906772,4
6652977.1027873844,4
3018471.2187154322,4
63177378.7681474242,4
1245203.1205410719,4
10731965.6220509788,4
39049984.4198737878,4
29339544.5051604260,4
2608462.0797346127,4
12291446.3815334458,4
5184896.7773934801,4
6801200.8968241705,4
80921507.1393350408,4
7387564.3877787270,4
8278411.7423220409,4
11100960.2667996478,4
70587803.9229757124,4
19173235.3605594670,4
2011898130.9354861717,3
7912653.2370373847,3
7477637.2776014049,3
8354945.6306403663,3
1415699.2356865981,3
2992162.7816495834,3
74016002.6019650209,3
3644566278.6602625320,3
2873862.9309388718,3
2605468.7128696165,3
56946920.7497732024,3
18562126.1110896765,3
6670122091.4622753239,3
1605564.2171778452,3
4651234.6787037490,3
1486195554.5255114980,3
7275494.7811178530,3
87666696.5302025907,3
26171153.2712091151,3
7989341.0097191625,3
8626343.9684026120,3
1219636.7573278529,3
8536857.0920789613,3
27150223.0167628853,3
80099261.3426524420,3
48159916.2278332378,3
