user_id,absolute_value
81036435.1157569602,1530.0
15046526.4562004600,1424.0
8083450.3844124226,1404.0
60695124.4742262801,1260.0
7134559299.4601048201,1200.0
12306432.7939489449,1170.0
5645225.6917653454,1121.0
78221431.2724111930,1049.0
51248671.8133898155,998.0
12291446.3815334458,976.0
41474740.1017155695,904.0
2566418.5535518831,865.0
5113443.5387152232,858.0
99387700.1672480666,817.0
39388951.3688006674,806.0
10295267.8818269139,794.0
2278219.0388083386,784.0
3833171.6184728360,771.0
71706603.2631255790,768.0
1621120.1060958458,758.0
4484520.5210961028,752.0
63177378.7681474242,744.0
1033085.6917088117,712.0
7019543.7153257093,708.0
2768703.4866675938,704.0
1532927.6404323781,683.0
13141816.1294900403,680.0
26064119.0281069258,678.0
41025522.7163055341,676.0
6822684.1627482502,671.0
88827381.9303945281,669.0
40810614.6993876384,656.0
30220372.7620678894,646.0
33534334.2982237665,618.0
87100826.2061583108,605.0
5766379.6658996628,600.0
48879002.2084859201,588.0
2167403.7906456200,580.0
37930099.3763917539,576.0
7285756326.1533513847,570.0
2049470.1567030647,565.0
18210686.3272655150,551.0
63264809.7446857295,544.0
78499362.4704274874,540.0
25363504.9539525923,536.0
1279990.2790569705,532.0
11276007.4623855146,529.0
27071010.1715411752,525.0
79509844.1081277926,522.0
3938933.9449134391,522.0
50054690.0206427992,518.0
3883375.8924071243,517.0
2808102.2330574481,517.0
45732822.6958771748,514.0
8156646657.1507119761,508.0
97950097.5837353470,491.0
51608821.0291355400,490.0
54019036.7189560758,490.0
84288512.1820202145,484.0
8635951.7155332526,484.0
2095299.8404862362,483.0
89140417.9002672475,480.0
28202253.7064162636,478.0
38970589.1095437937,477.0
35710256.3477753994,474.0
2660071.6760619641,466.0
11495471.0749512812,465.0
5373799.6097004022,462.0
91694984.1982284598,461.0
53406211.8724008214,460.0
47567788.3779803485,456.0
1482564.3987701428,453.0
5637710.4936907752,452.0
1440737.0883647632,450.0
2972042.1160295830,449.0
43678268.2433515488,446.0
7680193331.8740202405,443.0
80921507.1393350408,438.0
5002058.4107238120,437.0
7634543.7021985089,431.0
87666696.5302025907,427.0
30675676.3150878065,424.0
67242982.0432343274,423.0
1415699.2356865981,416.0
4376619.9958221943,408.0
80208775.3915875119,406.0
25335187.2299023217,405.0
3099934.0263391283,404.0
8822878673.4974906772,398.0
