user_id,absolute_purchase_count,average_order_value
63264809.7446857295,16,34.0
4484520.5210961028,13,57.85
12545442.9053678590,11,25.45
8083450.3844124226,10,127.64
2095299.8404862362,10,48.3
42744232.1088543265,9,30.0
25363504.9539525923,8,67.0
86226481.4357835444,8,30.0
4116825.4321746815,8,30.0
38579036.9404376300,8,19.5
2049470.1567030647,7,80.71
71706603.2631255790,7,64.0
81632350.4358345762,7,30.0
5898251.1308942779,7,28.57
86949711.6238778520,7,27.0
69784832.7107601315,7,24.0
8635951.7155332526,6,80.67
34715004.0442654743,6,58.33
79509844.1081277926,6,58.0
34490273.5966302679,6,44.0
84534898.7989426950,6,42.0
47567788.3779803485,6,38.0
39049092.9395215156,6,34.0
70013731.5220508342,6,31.33
1043539.2747159846,6,23.33
60536675.2873170774,6,21.5
50264907.6315911120,6,20.33
86253338.5702333040,6,14.0
1269503.0307049017,6,14.0
60695124.4742262801,5,252.0
5645225.6917653454,5,224.2
2808102.2330574481,5,103.4
97950097.5837353470,5,98.2
80208775.3915875119,5,81.2
58104072.2659495100,5,51.4
3046093.2167709173,5,49.8
5312155.7410092259,5,42.8
53675399.0091092182,5,24.0
57966618.4492876538,5,20.6
4983865.9578536501,5,16.0
7474537327.4725745851,5,10.8
16851116.6419517132,5,4.8
63177378.7681474242,4,186.0
12291446.3815334458,4,139.43
3018471.2187154322,4,88.5
80921507.1393350408,4,87.6
1245203.1205410719,4,69.25
8822878673.4974906772,4,66.33
8278411.7423220409,4,61.5
39049984.4198737878,4,60.75
70587803.9229757124,4,59.75
7688722.6706829800,4,58.25
6801200.8968241705,4,57.75
19173235.3605594670,4,55.5
6652977.1027873844,4,49.25
2608462.0797346127,4,43.43
7750159.6505312378,4,41.4
3392018.9796964611,4,37.0
7387564.3877787270,4,31.0
10731965.6220509788,4,28.0
11100960.2667996478,4,27.5
91266894.2688451102,4,24.0
5184896.7773934801,4,21.0
29339544.5051604260,4,21.0
11323811.0415184273,4,11.0
15046526.4562004600,3,474.67
87666696.5302025907,3,142.33
67242982.0432343274,3,141.0
1415699.2356865981,3,138.67
13756133.7762491194,3,128.0
59150872.6355994877,3,121.67
2660071.6760619641,3,116.5
31825674.2113685011,3,112.0
55194119.6469234549,3,108.33
4819495.8466668365,3,107.33
2992162.7816495834,3,100.0
7221347.4127394632,3,99.33
73497675.9720954301,3,98.0
8626343.9684026120,3,96.0
64681465.6816600292,3,92.33
1605564.2171778452,3,89.33
7275494.7811178530,3,84.0
74016002.6019650209,3,80.0
7254379.8573622074,3,79.5
3327202.0943712796,3,75.6
2321760.0432411967,3,75.0
8354945.6306403663,3,72.0
7477637.2776014049,3,72.0
48159916.2278332378,3,71.0
7242688.0843867208,3,68.0
51605325.8215613948,3,66.33
34267479.4710386287,3,66.0
1486195554.5255114980,3,66.0
2011898130.9354861717,3,66.0
40725997.7080496130,3,65.67
36342934.1053894040,3,63.0
2418457.6264805451,3,61.0
3949544.2182643123,3,60.0
8735747.5391513797,3,59.0
43259288.5905790888,3,55.0
1026932.0858862293,3,53.25
4707239.1008432127,3,50.4
2345616688.3567836901,3,50.0
7912653.2370373847,3,49.67
53418806.5482216471,3,49.0
2873862.9309388718,3,48.0
5050584.3771338630,3,48.0
5297765.6768178190,3,45.0
2605468.7128696165,3,44.0
8536857.0920789613,3,43.67
7644155580.3915602822,3,41.75
83961186.4892260627,3,41.33
3644566278.6602625320,3,41.0
4571300.1430687449,3,38.67
4802635.2461442794,3,38.0
4651234.6787037490,3,37.33
1056498.5939985013,3,35.0
6924972.3117240095,3,35.0
46622969.7099107810,3,34.67
4181862.5710073931,3,34.0
1219636.7573278529,3,34.0
4366554.6078100134,3,34.0
77005687.4514013148,3,33.67
8824479.1230645788,3,33.33
28108956.4390354387,3,32.33
28475030.0026516570,3,31.0
6670122091.4622753239,3,31.0
84385511.3999029850,3,30.67
7644052.7232523165,3,30.33
82790046.1686536183,3,30.0
18562126.1110896765,3,30.0
7989341.0097191625,3,25.67
80099261.3426524420,3,23.67
26519562.2001786042,3,23.0
3846424.1179556219,3,22.0
3287379.7416476309,3,21.67
56946920.7497732024,3,20.67
26171153.2712091151,3,19.67
7118581.9194840540,3,17.33
8339212.2465893300,3,16.33
25681781.7210716874,3,16.0
53989140.2218322723,3,14.0
5444054.0299206594,3,14.0
8922626.4347602444,3,14.0
6989932.8832534125,3,14.0
2288007.4516543064,3,12.0
27150223.0167628853,3,10.0
5963534.4700679023,3,9.67
78221431.2724111930,2,524.5
5113443.5387152232,2,429.0
99387700.1672480666,2,408.5
3833171.6184728360,2,385.5
1621120.1060958458,2,379.0
41025522.7163055341,2,338.0
2167403.7906456200,2,290.0
1279990.2790569705,2,266.0
11276007.4623855146,2,264.5
3883375.8924071243,2,258.5
51608821.0291355400,2,245.0
11495471.0749512812,2,232.5
53406211.8724008214,2,230.0
88827381.9303945281,2,223.0
5002058.4107238120,2,218.5
25335187.2299023217,2,202.5
58881820.3673642140,2,196.5
9073224.2742948399,2,192.0
31556860.5592810420,2,188.0
3381037907.7217581644,2,187.0
59283995.2508616440,2,187.0
1663781.3078124746,2,180.5
81834479.5125091790,2,179.5
4570994.5660099908,2,175.5
16291219.8111422394,2,162.5
27314189.0356814830,2,161.5
28624446.9980540301,2,161.0
71563215.6886463640,2,160.0
28202253.7064162636,2,159.33
5373799.6097004022,2,154.0
57065333.7001768225,2,147.5
5310177.6035821276,2,143.5
17092913.6445812691,2,139.0
5305452.1871311002,2,138.5
98020186.6825178467,2,137.0
39816785.0776255763,2,133.0
5299488.0522490006,2,130.0
83739349.8729103328,2,129.5
4663569.8394119852,2,128.5
6643240028.3907368685,2,127.5
68441141.3197623367,2,127.0
79437846.7966348856,2,125.5
39602761.4128729087,2,125.33
3231609.9615457151,2,124.5
26822369.2318540291,2,124.5
5776696.8626570449,2,118.0
6266986.5618192324,2,117.5
6556724.6722841168,2,116.0
91694984.1982284598,2,115.25
27683683.6299831306,2,114.5
5637710.4936907752,2,113.0
2819497.0596567487,2,112.5
17453487.1522301419,2,111.5
3188737051.8836428627,2,111.5
3578162.0623899917,2,110.33
53769790.5488226810,2,108.5
7634543.7021985089,2,107.75
80102056.6809389391,2,107.0
11509726.0727055406,2,106.5
1393292.7340025556,2,105.0
7228563.7799869763,2,105.0
73478648.4870101641,2,104.0
6596516.5623513414,2,103.5
1874599.7824854030,2,100.0
8156015.0433362204,2,98.0
59655965.0647426255,2,97.0
65671033.8875667472,2,96.0
72114424.5827774039,2,95.5
8816916.6059271167,2,94.5
84868240.4309852777,2,94.5
9067917.4467737421,2,94.0
86816051.5538787911,2,93.5
6578204.1614469741,2,93.0
4022774245.7650545822,2,92.5
6414647.4737074407,2,92.5
1645066.3355511314,2,92.5
3519862.5500955315,2,91.0
3041494.0908353891,2,90.67
51153409.8050128631,2,90.0
74576246.9093845667,2,89.5
3432659.9858672821,2,88.0
