user_id,recency_days,frequency_count,total_monetary_spend,rfm_combined_code,customer_lifecycle_status
1617434.1535145542,0,1,0.0,125,HIBERNATING / LOST
48568013.6801171570,8,1,0.0,135,AT RISK - NEED RETENTION
48159916.2278332378,46,3,284.0,211,STANDARD CONVERTED CUSTOMER
33519070.9701128272,58,1,278.0,431,STANDARD CONVERTED CUSTOMER
36342934.1053894040,74,3,189.0,511,STANDARD CONVERTED CUSTOMER
5795144.5608491958,70,2,178.0,511,STANDARD CONVERTED CUSTOMER
8735747.5391513797,18,3,177.0,111,HIBERNATING / LOST
8839256339.1323107592,54,1,167.0,351,STANDARD CONVERTED CUSTOMER
7337320.6099359731,85,1,128.0,521,STANDARD CONVERTED CUSTOMER
27849359.1629027567,58,1,120.0,421,STANDARD CONVERTED CUSTOMER
63078466.0698615067,11,1,99.0,142,AT RISK - NEED RETENTION
80381756.0295134079,60,1,96.0,422,STANDARD CONVERTED CUSTOMER
3680421.4213771360,0,2,92.0,112,HIBERNATING / LOST
81444980.8487304711,89,1,88.0,542,STANDARD CONVERTED CUSTOMER
4491618.5629278395,57,1,86.0,342,STANDARD CONVERTED CUSTOMER
57813325.3678451216,51,1,82.0,352,STANDARD CONVERTED CUSTOMER
78124649.1656587707,78,1,80.0,512,STANDARD CONVERTED CUSTOMER
7653885.7449557450,69,1,74.0,442,STANDARD CONVERTED CUSTOMER
6471483.5221877990,60,1,73.0,432,STANDARD CONVERTED CUSTOMER
44050879.9039342218,54,1,72.0,322,STANDARD CONVERTED CUSTOMER
36185608.4688744734,78,1,64.0,533,STANDARD CONVERTED CUSTOMER
15485284.9465721193,58,1,63.0,423,STANDARD CONVERTED CUSTOMER
3344699.5675826086,12,1,60.0,113,HIBERNATING / LOST
44093840.8232543120,69,1,60.0,523,STANDARD CONVERTED CUSTOMER
4055961.2903422421,68,1,55.0,453,STANDARD CONVERTED CUSTOMER
4300488.4056873382,57,1,53.0,423,STANDARD CONVERTED CUSTOMER
39055352.8212242473,67,1,53.0,453,STANDARD CONVERTED CUSTOMER
3704982.3846524796,51,1,51.0,333,STANDARD CONVERTED CUSTOMER
5112454.3163120988,54,1,49.0,323,STANDARD CONVERTED CUSTOMER
6186645.2069480711,61,1,48.0,423,STANDARD CONVERTED CUSTOMER
1774459.5444377617,50,1,45.0,323,STANDARD CONVERTED CUSTOMER
43265328.8204538553,57,1,44.0,343,STANDARD CONVERTED CUSTOMER
76370387.0865247378,51,1,42.0,343,STANDARD CONVERTED CUSTOMER
57752699.8373496520,56,1,39.0,354,STANDARD CONVERTED CUSTOMER
2509185.9771834952,79,1,38.0,534,STANDARD CONVERTED CUSTOMER
15817556.8554808751,30,1,34.0,224,STANDARD CONVERTED CUSTOMER
558932409.3066394174,83,1,34.0,554,CHAMPIONS / ELITE
68296803.9320657032,66,1,32.0,424,STANDARD CONVERTED CUSTOMER
5298181.7137406370,60,1,32.0,444,CHAMPIONS / ELITE
2265878.0595059594,24,1,31.0,254,AT RISK - NEED RETENTION
1257911.6384484937,89,1,22.0,524,STANDARD CONVERTED CUSTOMER
22360539.8245478823,44,1,18.0,235,AT RISK - NEED RETENTION
7722805.2360482435,62,1,18.0,455,CHAMPIONS / ELITE
42091261.9216222861,55,1,17.0,345,STANDARD CONVERTED CUSTOMER
3776054.3479849754,77,1,16.0,515,STANDARD CONVERTED CUSTOMER
68913644.8801660890,52,1,14.0,325,STANDARD CONVERTED CUSTOMER
8579773.8025468958,15,1,14.0,135,AT RISK - NEED RETENTION
11804455.8043636728,58,1,14.0,425,STANDARD CONVERTED CUSTOMER
1650778.5848737470,51,2,12.0,315,STANDARD CONVERTED CUSTOMER
62352188.0721262860,62,1,8.0,425,STANDARD CONVERTED CUSTOMER
88267963.6455731174,70,1,0.0,525,STANDARD CONVERTED CUSTOMER
7195975.1014288023,4,1,0.0,115,HIBERNATING / LOST
8563529.8876681695,64,1,0.0,435,STANDARD CONVERTED CUSTOMER
4373935.5876236286,69,1,0.0,455,CHAMPIONS / ELITE
42447971.3619447200,14,1,0.0,145,AT RISK - NEED RETENTION
54696845.1905811411,17,1,0.0,115,HIBERNATING / LOST
2278219.0388083386,48,1,784.0,331,STANDARD CONVERTED CUSTOMER
2049470.1567030647,47,7,565.0,211,STANDARD CONVERTED CUSTOMER
3122197.9178413688,50,1,320.0,351,STANDARD CONVERTED CUSTOMER
26822369.2318540291,61,2,249.0,411,STANDARD CONVERTED CUSTOMER
62739166.8660781806,44,1,184.0,221,STANDARD CONVERTED CUSTOMER
7150186.6926554484,74,1,184.0,531,STANDARD CONVERTED CUSTOMER
7307937.9736138181,52,1,180.0,351,STANDARD CONVERTED CUSTOMER
3855098781.8871500534,85,1,171.0,541,STANDARD CONVERTED CUSTOMER
80435974.9462183494,29,1,162.0,211,STANDARD CONVERTED CUSTOMER
75571709.1157982540,27,2,149.0,211,STANDARD CONVERTED CUSTOMER
52565912.2309852051,72,1,136.0,511,STANDARD CONVERTED CUSTOMER
9234069.4874293038,19,1,103.0,152,AT RISK - NEED RETENTION
64707869.9107693145,46,1,98.0,222,STANDARD CONVERTED CUSTOMER
27934793.9232963542,46,1,96.0,222,STANDARD CONVERTED CUSTOMER
77977630.2926457730,73,1,92.0,542,STANDARD CONVERTED CUSTOMER
76236262.3256398802,74,1,89.0,552,STANDARD CONVERTED CUSTOMER
8365874158.6584635135,44,2,88.0,212,STANDARD CONVERTED CUSTOMER
5555029.1780152336,6,1,85.0,142,AT RISK - NEED RETENTION
67431671.1651955470,58,1,73.0,422,STANDARD CONVERTED CUSTOMER
84404754.7597435906,62,1,70.0,442,STANDARD CONVERTED CUSTOMER
45812920.1745374710,48,1,66.0,313,STANDARD CONVERTED CUSTOMER
79219690.8483166390,87,1,65.0,513,STANDARD CONVERTED CUSTOMER
4513859.3844267868,89,1,48.0,533,STANDARD CONVERTED CUSTOMER
89509806.8702117822,39,1,48.0,233,AT RISK - NEED RETENTION
8180003.1007682591,67,1,48.0,413,STANDARD CONVERTED CUSTOMER
61969665.2429682443,49,1,46.0,313,STANDARD CONVERTED CUSTOMER
6220202.4224592569,70,1,44.0,523,STANDARD CONVERTED CUSTOMER
66913143.5379490723,58,1,38.0,444,CHAMPIONS / ELITE
86936215.6636494751,64,1,31.0,424,STANDARD CONVERTED CUSTOMER
4646569700.1915538567,54,1,30.0,314,STANDARD CONVERTED CUSTOMER
4722225.2022353473,57,1,30.0,334,STANDARD CONVERTED CUSTOMER
34009416.7866578706,15,1,26.0,114,HIBERNATING / LOST
7827395.5707921470,67,1,26.0,454,CHAMPIONS / ELITE
42393609.9505932976,58,1,22.0,414,STANDARD CONVERTED CUSTOMER
57746120.5810540778,52,1,20.0,354,STANDARD CONVERTED CUSTOMER
6061725953.8302009147,62,1,18.0,435,STANDARD CONVERTED CUSTOMER
2844031.7480387802,46,1,14.0,225,STANDARD CONVERTED CUSTOMER
76048408.3088751594,48,1,13.0,345,STANDARD CONVERTED CUSTOMER
30279612.0796589091,55,1,11.0,345,STANDARD CONVERTED CUSTOMER
8992560.0877088817,59,1,10.0,425,STANDARD CONVERTED CUSTOMER
73317479.4306868663,31,1,10.0,235,AT RISK - NEED RETENTION
8478040283.7405308990,46,1,10.0,255,AT RISK - NEED RETENTION
1147529.6357293919,87,1,4.0,535,STANDARD CONVERTED CUSTOMER
85093126.5834572152,2,1,0.0,125,HIBERNATING / LOST
30091999.6062128760,48,1,0.0,315,STANDARD CONVERTED CUSTOMER
64087102.2456314175,72,1,0.0,525,STANDARD CONVERTED CUSTOMER
1245203.1205410719,39,4,277.0,211,STANDARD CONVERTED CUSTOMER
5370675.2157971187,75,1,247.0,531,STANDARD CONVERTED CUSTOMER
74016002.6019650209,79,3,240.0,511,STANDARD CONVERTED CUSTOMER
5584543.6745627539,69,1,194.0,431,STANDARD CONVERTED CUSTOMER
7644155580.3915602822,69,3,167.0,511,STANDARD CONVERTED CUSTOMER
4951824232.2987874402,53,1,166.0,341,STANDARD CONVERTED CUSTOMER
40957384.9471332754,24,2,155.0,211,STANDARD CONVERTED CUSTOMER
18614512.0976220226,67,1,133.0,441,STANDARD CONVERTED CUSTOMER
84804701.0609767420,76,1,126.0,551,STANDARD CONVERTED CUSTOMER
53675399.0091092182,55,5,120.0,311,STANDARD CONVERTED CUSTOMER
5604587.3755072537,44,1,108.0,232,AT RISK - NEED RETENTION
5736532689.1280896266,42,1,100.0,252,AT RISK - NEED RETENTION
32112446.4717494797,86,1,100.0,552,STANDARD CONVERTED CUSTOMER
29836460.5039155988,66,1,98.0,412,STANDARD CONVERTED CUSTOMER
6961838.2919122157,78,1,97.0,552,STANDARD CONVERTED CUSTOMER
45277194.9362696963,44,1,95.0,242,AT RISK - NEED RETENTION
73122682.2269869827,44,1,90.0,242,AT RISK - NEED RETENTION
82626182.5580281696,12,1,88.0,132,AT RISK - NEED RETENTION
72370889.4274312461,71,1,84.0,542,STANDARD CONVERTED CUSTOMER
7989341.0097191625,18,3,77.0,112,HIBERNATING / LOST
19776395.6991230845,57,1,73.0,442,STANDARD CONVERTED CUSTOMER
60946114.0900351195,63,1,63.0,423,STANDARD CONVERTED CUSTOMER
1738338.2951797326,57,1,63.0,333,STANDARD CONVERTED CUSTOMER
3597047.3508477413,65,1,60.0,453,STANDARD CONVERTED CUSTOMER
5157888.7472869085,38,1,59.0,253,AT RISK - NEED RETENTION
2989628.1463094396,18,1,55.0,133,AT RISK - NEED RETENTION
1441375.7353918689,90,1,55.0,553,STANDARD CONVERTED CUSTOMER
5786975.5949263265,65,1,47.0,423,STANDARD CONVERTED CUSTOMER
88242023.2250072869,65,1,46.0,453,STANDARD CONVERTED CUSTOMER
5969626.2225772933,39,1,46.0,253,AT RISK - NEED RETENTION
3683946.7006356487,83,1,44.0,553,STANDARD CONVERTED CUSTOMER
